DATE,OPEN,HIGH,LOW,CLOSE
2012/4/23,1.3215,1.3225,1.3129,1.3154
2012/4/24,1.3154,1.3217,1.3105,1.3182
2012/4/25,1.3182,1.3218,1.3145,1.3214
2012/4/26,1.3214,1.3236,1.3173,1.324
2012/4/27,1.324,1.3263,1.3199,1.3247
2012/4/30,1.3247,1.327,1.3158,1.3236
2012/5/1,1.3236,1.3267,1.3208,1.3235
2012/5/2,1.3235,1.3284,1.3204,1.3156
2012/5/3,1.3156,1.3241,1.3122,1.315
2012/5/4,1.315,1.318,1.3096,1.3089
2012/5/7,1.3089,1.3178,1.308,1.3058
2012/5/8,1.3058,1.3064,1.2956,1.3016
2012/5/9,1.3016,1.3066,1.298,1.2942
2012/5/10,1.2942,1.3006,1.2912,1.2946
2012/5/11,1.2946,1.298,1.2925,1.2922
2012/5/14,1.2922,1.2958,1.2904,1.2839
2012/5/15,1.2839,1.2907,1.2824,1.2728
2012/5/16,1.2728,1.287,1.2718,1.2723
2012/5/17,1.2723,1.2759,1.2682,1.27
2012/5/18,1.27,1.2749,1.2666,1.2773
2012/5/21,1.2773,1.2794,1.2643,1.2816
2012/5/22,1.2816,1.2825,1.2723,1.2676
2012/5/23,1.2676,1.2817,1.2655,1.2584
2012/5/24,1.2584,1.2688,1.2545,1.2533
2012/5/25,1.2533,1.262,1.2516,1.2518
2012/5/28,1.2518,1.2603,1.2496,1.2543
2012/5/29,1.2543,1.2624,1.2524,1.2493
2012/5/30,1.2493,1.2575,1.2461,1.2373
2012/5/31,1.2373,1.2494,1.236,1.2375
2012/6/1,1.2375,1.243,1.2337,1.2408
2012/6/4,1.2408,1.2459,1.2289,1.2496
2012/6/5,1.2496,1.251,1.2386,1.2446
2012/6/6,1.2446,1.2542,1.241,1.2572
2012/6/7,1.2572,1.2583,1.244,1.2582
2012/6/8,1.2582,1.2626,1.254,1.2501
2012/6/11,1.2501,1.2575,1.2436,1.2483
2012/6/12,1.2483,1.2668,1.248,1.2499
2012/6/13,1.2499,1.253,1.2442,1.2571
2012/6/14,1.2571,1.261,1.2474,1.2614
2012/6/15,1.2614,1.2635,1.2543,1.2645
2012/6/18,1.2645,1.2664,1.2592,1.2577
2012/6/19,1.2577,1.2747,1.2556,1.2691
2012/6/20,1.2691,1.2731,1.2569,1.267
2012/6/21,1.267,1.2743,1.2638,1.2545
2012/6/22,1.2545,1.2701,1.2532,1.2565
2012/6/25,1.2565,1.2583,1.252,1.25
2012/6/26,1.25,1.2569,1.2472,1.2499
2012/6/27,1.2499,1.2531,1.2442,1.2469
2012/6/28,1.2469,1.2508,1.2446,1.2445
2012/6/29,1.2445,1.2524,1.2408,1.2654
2012/7/2,1.2654,1.2693,1.2433,1.2583
2012/7/3,1.2583,1.268,1.2569,1.2607
2012/7/4,1.2607,1.2627,1.2559,1.2533
2012/7/5,1.2533,1.2607,1.2508,1.2389
2012/7/6,1.2389,1.254,1.2364,1.2275
2012/7/9,1.2275,1.2401,1.2259,1.231
2012/7/10,1.231,1.2324,1.2225,1.2252
2012/7/11,1.2252,1.2334,1.2236,1.2233
2012/7/12,1.2233,1.2297,1.2212,1.221
2012/7/13,1.221,1.2249,1.2165,1.224
2012/7/16,1.224,1.2257,1.216,1.2279
2012/7/17,1.2279,1.229,1.2176,1.2281
2012/7/18,1.2281,1.2317,1.2188,1.2276
2012/7/19,1.2276,1.2306,1.2215,1.2271
2012/7/20,1.2271,1.2324,1.2228,1.2164
2012/7/23,1.2164,1.2283,1.2144,1.2134
2012/7/24,1.2134,1.2145,1.2068,1.2064
2012/7/25,1.2064,1.2138,1.2041,1.2152
2012/7/26,1.2152,1.2171,1.2054,1.2282
2012/7/27,1.2282,1.233,1.2115,1.2317
2012/7/30,1.2317,1.239,1.224,1.2253
2012/7/31,1.2253,1.2339,1.2226,1.2308
2012/8/1,1.2308,1.233,1.2247,1.2239
2012/8/2,1.2239,1.2336,1.2218,1.2176
2012/8/3,1.2176,1.2405,1.2131,1.2379
2012/8/6,1.2379,1.2392,1.2167,1.2412
2012/8/7,1.2412,1.2443,1.2339,1.2405
2012/8/8,1.2405,1.2442,1.2373,1.2358
2012/8/9,1.2358,1.2402,1.2326,1.2292
2012/8/10,1.2292,1.2387,1.2266,1.2293
2012/8/13,1.2293,1.2317,1.2242,1.2332
2012/8/14,1.2332,1.2374,1.2258,1.2324
2012/8/15,1.2324,1.2386,1.2314,1.2287
2012/8/16,1.2287,1.2344,1.226,1.2362
2012/8/17,1.2362,1.2373,1.2256,1.2318
2012/8/20,1.2318,1.2382,1.2288,1.2344
2012/8/21,1.2344,1.237,1.2294,1.2465
2012/8/22,1.2465,1.2488,1.2347,1.2518
2012/8/23,1.2518,1.2538,1.2432,1.2561
2012/8/24,1.2561,1.259,1.2524,1.2516
2012/8/27,1.2516,1.2569,1.2482,1.2496
2012/8/28,1.2496,1.2536,1.249,1.2563
2012/8/29,1.2563,1.2577,1.2466,1.2528
2012/8/30,1.2528,1.2574,1.2518,1.2515
2012/8/31,1.2515,1.2564,1.2487,1.2578
2012/9/3,1.2578,1.2637,1.2494,1.2593
2012/9/4,1.2593,1.2611,1.2554,1.257
