DATE,OPEN,HIGH,LOW,CLOSE
2008/6/24,107.78,108.07,107.12,107.84
2008/6/25,107.84,108.23,107.36,107.91
2008/6/26,107.91,108.42,107.67,106.74
2008/6/27,106.74,108.18,106.61,106.23
2008/6/30,106.23,107.21,105.86,106.05
2008/7/1,106.05,106.47,104.99,106.05
2008/7/2,106.05,106.39,105.33,105.97
2008/7/3,105.97,106.78,105.79,106.7
2008/7/4,106.7,106.93,105.77,106.68
2008/7/7,106.68,106.88,106.62,107.18
2008/7/8,107.18,107.75,106.67,107.45
2008/7/9,107.45,107.54,106.26,105.79
2008/7/10,105.79,107.66,106.78,107.03
2008/7/11,107.03,107.45,106.7,106.46
2008/7/14,106.46,107.3,105.66,106.16
2008/7/15,106.16,106.81,106.06,105.06
2008/7/16,105.06,106.27,104.16,105.01
2008/7/17,105.01,105,103.77,106.68
2008/7/18,106.68,107.1,104.76,106.83
2008/7/21,106.83,106.94,105.98,106.65
2008/7/22,106.65,107.15,106.37,107.16
2008/7/23,107.16,107.45,106.06,107.89
2008/7/24,107.89,107.97,107.18,107.36
2008/7/25,107.36,107.99,107.26,107.9
2008/7/28,107.9,107.95,106.58,107.5
2008/7/29,107.5,108.08,107.35,108.09
2008/7/30,108.09,108.3,107.3,108.06
2008/7/31,108.06,108.34,107.71,107.89
2008/8/1,107.89,108.38,107.57,107.69
2008/8/4,107.69,107.89,107.28,108.27
2008/8/5,108.27,108.29,107.47,108.16
2008/8/6,108.16,108.34,107.68,109.8
2008/8/7,109.8,109.81,108.23,109.45
2008/8/8,109.45,109.8,109.14,110.24
2008/8/11,110.24,110.36,109.3,109.99
2008/8/12,109.99,110.4,109.55,109.31
2008/8/13,109.31,110.35,109.3,109.55
2008/8/14,109.55,109.74,108.36,109.66
2008/8/15,109.66,109.99,109.04,110.56
2008/8/18,110.56,110.66,109.63,110.16
2008/8/19,110.16,110.51,109.97,109.73
2008/8/20,109.73,110.33,109.55,109.81
2008/8/21,109.81,110.27,109.62,108.59
2008/8/22,108.59,109.86,108.13,109.97
2008/8/25,109.97,110.14,108.39,109.34
2008/8/26,109.34,110.29,109.03,109.7
2008/8/27,109.7,109.94,109.15,109.66
2008/8/28,109.66,109.89,108.71,109.48
2008/8/29,109.48,109.71,108.79,108.69
2008/9/1,108.69,109.55,108.42,108.17
2008/9/2,108.17,108.66,107.63,108.65
2008/9/3,108.65,109.19,107.78,108.23
2008/9/4,108.23,109.09,108.11,107.07
2008/9/5,107.07,108.56,106.98,107.14
2008/9/8,107.14,107.35,105.54,107.99
2008/9/9,107.99,109.07,107.77,107.14
2008/9/10,107.14,108.34,106.84,107.64
2008/9/11,107.64,107.94,106.6,106.89
2008/9/12,106.89,107.85,106.07,107.79
2008/9/15,107.79,107.89,106.73,105.78
2008/9/16,105.78,106.84,104.54,105.85
2008/9/17,105.85,106.02,103.55,104.99
